sample_id,text,machine_summary,gpt4o_0-5_relevance,gpt4o_0-5_coherence,gpt4o_0-5_fluency,gpt4o_0-5_consistency,gpt4o_0-5_overall,gpt4o_0-10_relevance,gpt4o_0-10_coherence,gpt4o_0-10_fluency,gpt4o_0-10_consistency,gpt4o_0-10_overall,gpt4o_0-100_relevance,gpt4o_0-100_coherence,gpt4o_0-100_fluency,gpt4o_0-100_consistency,gpt4o_0-100_overall,llama_0-5_relevance,llama_0-5_coherence,llama_0-5_fluency,llama_0-5_consistency,llama_0-5_overall,llama_0-10_relevance,llama_0-10_coherence,llama_0-10_fluency,llama_0-10_consistency,llama_0-10_overall,llama_0-100_relevance,llama_0-100_coherence,llama_0-100_fluency,llama_0-100_consistency,llama_0-100_overall,qwen_0-5_relevance,qwen_0-5_coherence,qwen_0-5_fluency,qwen_0-5_consistency,qwen_0-5_overall,qwen_0-10_relevance,qwen_0-10_coherence,qwen_0-10_fluency,qwen_0-10_consistency,qwen_0-10_overall,qwen_0-100_relevance,qwen_0-100_coherence,qwen_0-100_fluency,qwen_0-100_consistency,qwen_0-100_overall,gemini_0-5_relevance,gemini_0-5_coherence,gemini_0-5_fluency,gemini_0-5_consistency,gemini_0-5_overall,gemini_0-10_relevance,gemini_0-10_coherence,gemini_0-10_fluency,gemini_0-10_consistency,gemini_0-10_overall,gemini_0-100_relevance,gemini_0-100_coherence,gemini_0-100_fluency,gemini_0-100_consistency,gemini_0-100_overall,deepseek_0-5_relevance,deepseek_0-5_coherence,deepseek_0-5_fluency,deepseek_0-5_consistency,deepseek_0-5_overall,deepseek_0-10_relevance,deepseek_0-10_coherence,deepseek_0-10_fluency,deepseek_0-10_consistency,deepseek_0-10_overall,deepseek_0-100_relevance,deepseek_0-100_coherence,deepseek_0-100_fluency,deepseek_0-100_consistency,deepseek_0-100_overall,mistral_0-5_relevance,mistral_0-5_coherence,mistral_0-5_fluency,mistral_0-5_consistency,mistral_0-5_overall,mistral_0-10_relevance,mistral_0-10_coherence,mistral_0-10_fluency,mistral_0-10_consistency,mistral_0-10_overall,mistral_0-100_relevance,mistral_0-100_coherence,mistral_0-100_fluency,mistral_0-100_consistency,mistral_0-100_overall
11,River Plate are keen to sign Manchester United striker Radamel Falcao but admit a deal is complicate...,river plate are keen to sign manchester united striker radamel falcao but admit a deal is complicate...,3.5,3.0,3.5,3.0,3.2,8.0,6.0,6.5,8.0,7.1,90.0,85.0,90.0,95.0,90.0,4.5,4.0,2.5,5.0,4.0,8.5,8.0,6.5,9.0,8.0,87.5,90.0,80.0,95.0,88.1,4.5,4.0,3.5,5.0,4.2,8.5,8.0,7.5,9.0,8.2,85.0,87.5,80.0,95.0,86.9,4.0,5,3.0,5,4.2,6.5,9.5,9.5,10,8.9,75.0,100,55.0,100,82.5,5.0,5.0,5.0,5.0,5.0,10.0,10.0,10.0,10.0,10.0,97.5,100.0,100.0,100.0,99.4,4.8,4.7,4.5,4.6,4.7,9.5,9.0,8.5,9.0,9.0,95.0,90.0,85.0,95.0,91.2
12,(CNN)Donald Sterling's racist remarks cost him an NBA team last year. But now it's his former female...,"donald sterling , nba team last year . sterling 's wife sued for $ 2.6 million in gifts . sterling s...",2.0,1.5,1.5,1.0,1.5,3.0,2.5,2.0,3.5,2.8,40.0,20.0,20.0,30.0,27.5,2.5,1.5,1.0,2.0,1.8,4.2,2.5,3.1,5.6,3.9,40.8,20.5,30.2,10.9,25.6,2.0,1.5,1.0,1.0,1.4,4.0,3.5,2.0,3.0,3.1,10.0,10.0,10.0,10.0,10.0,2.0,4.5,4.5,5,4.0,4.5,9.0,9.0,10,8.1,35.0,95.0,95.0,100,81.2,4.5,2.5,2.5,5.0,3.6,7.0,6.5,7.0,9.0,7.4,65.0,75.0,80.0,100.0,80.0,4.5,4.5,4.0,4.5,4.4,9.5,9.5,9.0,9.0,9.2,95.0,90.0,85.0,95.0,91.2
13,Twice French Open champion Serena Williams said her struggle to beat Sara Errani in the Fed Cup on S...,world no 1 williams beat sara errani in the fed cup play-off on sunday . the us were beaten 6-0 6-3 ...,3.0,4.0,4.5,4.0,3.9,4.0,6.0,6.5,3.0,4.9,85.0,80.0,85.0,80.0,82.5,3.8,3.2,3.5,4.2,3.7,8.2,7.5,8.0,9.5,8.3,75.2,80.5,92.1,97.5,86.3,3.5,3.0,3.5,4.0,3.5,7.5,7.0,7.0,9.0,7.6,65.0,70.0,72.5,80.0,71.9,4.0,5,4.5,5,4.6,7.0,9.5,9.5,10,9.0,55.0,95.0,70.0,100,80.0,5.0,5.0,4.5,5.0,4.9,9.8,10.0,9.8,10.0,9.9,100.0,90.0,80.0,90.0,90.0,4.5,4.5,4.2,5.0,4.5,9.5,9.5,9.0,10.0,9.5,98.0,95.0,92.0,95.0,95.0
14,Jordan Henderson has provided Liverpool with a lift after their FA Cup heartache by agreeing a new l...,jordan henderson has provided liverpool with a lift after their fa cup heartache by agreeing a new l...,3.5,4.0,4.5,4.0,4.0,5.5,6.5,7.0,6.0,6.2,65.0,70.0,75.0,90.0,75.0,4.5,4.2,3.8,5.0,4.4,8.5,8.0,7.0,9.0,8.1,92.5,90.0,85.0,98.0,91.4,4.5,4.5,3.5,5.0,4.4,9.0,9.5,8.0,10.0,9.1,95.0,90.0,85.5,100.0,92.6,4.0,4.5,3.5,5,4.2,7.0,9.0,8.5,10,8.6,75.0,95.0,85.0,100,88.8,4.0,4.5,4.5,4.5,4.4,9.0,9.0,9.0,9.5,9.1,85.0,90.0,95.0,100.0,92.5,5.0,5.0,4.5,5.0,4.9,9.0,9.0,9.0,9.5,9.1,95.0,90.0,90.0,95.0,92.5
15,"Chelsea have made an offer for FC Tokyo's 22-year-old forward Yoshinori Muto, according to club pres...",chelsea have made an offer for fc tokyo 's 22-year-old forward yoshinori muto . the japan internatio...,4.5,4.0,4.5,4.5,4.4,6.5,7.0,7.5,7.0,7.0,85.0,90.0,92.5,85.0,88.1,4.2,4.0,3.5,4.5,4.0,8.5,8.0,7.5,9.0,8.2,87.5,80.0,75.0,97.5,85.0,4.5,4.0,3.0,5.0,4.1,8.5,8.0,7.0,9.0,8.1,90.0,85.5,86.0,98.0,89.9,2.0,5,5,5,4.2,3.5,9.5,9.5,10,8.1,18.0,100,100,100,79.5,3.0,4.5,5.0,5.0,4.4,8.0,10.0,10.0,10.0,9.5,94.0,96.0,98.0,95.0,95.8,4.5,4.5,4.2,4.5,4.4,9.5,9.5,9.0,10.0,9.5,98.0,95.0,95.0,90.0,94.5
16,Gregory van der Wiel has denied claims that he is set to leave Paris Saint-Germain in the summer and...,gregory van der wiel has denied claims he is set to leave paris saint-germain in the summer . the du...,4.5,4.8,4.7,5.0,4.8,8.5,9.0,9.5,9.0,9.0,85.0,90.0,95.0,95.0,91.2,4.2,4.0,3.5,4.5,4.0,8.5,8.0,7.0,9.5,8.2,87.5,80.0,70.0,95.0,83.1,4.5,4.5,3.5,5.0,4.4,9.0,9.0,7.5,9.5,8.8,95.0,90.0,85.0,100.0,92.5,4.0,5,5,5,4.8,8.0,9.5,8.0,10,8.9,75.0,95.0,98.0,100,92.0,4.5,4.5,4.5,5.0,4.6,10.0,10.0,9.5,10.0,9.9,92.5,90.0,97.5,100.0,95.0,4.5,4.5,4.0,5.0,4.5,9.5,9.0,9.0,9.5,9.2,98.0,95.0,92.0,99.0,96.0
17,(CNN)A North Pacific gray whale has earned a spot in the record books after completing the longest m...,"north pacific gray whale has earned a spot in the record books . the whale , named varvara , swam ne...",2.5,3.0,3.5,3.0,3.0,6.5,5.5,6.0,7.0,6.2,75.5,80.0,85.0,70.0,77.6,3.5,2.5,2.0,4.5,3.1,7.8,6.2,5.5,9.0,7.1,80.2,70.5,85.1,92.1,82.0,3.5,4.0,3.5,5.0,4.0,8.0,8.0,6.5,10.0,8.1,72.5,80.0,75.0,90.0,79.4,2.5,4.5,4.5,5,4.1,3.5,9.0,8.5,10,7.8,45.0,95.0,20.0,100,65.0,3.5,3.0,4.0,4.5,3.8,9.5,10.0,8.0,9.0,9.1,45.0,65.0,70.0,95.0,68.8,4.8,4.5,4.7,5.0,4.8,9.5,9.0,9.0,10.0,9.4,95.0,90.0,90.0,95.0,92.5
18,Barcelona club president Josep Maria Bartomeu has insisted that the La Liga leaders have no plans to...,barcelona club president josep maria bartomeu has insisted that the la liga leaders have no plans to...,4.8,4.5,4.7,5.0,4.8,8.5,8.0,9.0,9.5,8.8,85.0,90.0,95.0,90.0,90.0,4.5,4.2,3.8,5.0,4.4,9.5,9.0,8.0,9.5,9.0,92.5,90.0,85.0,98.0,91.4,4.5,4.2,3.5,4.7,4.2,9.5,9.0,7.5,10.0,9.0,96.5,92.0,84.5,100.0,93.2,3.0,3.5,2.5,5,3.5,7.0,9.0,8.5,10,8.6,70.0,75.0,60.0,100,76.2,2.5,2.0,1.5,2.0,2.0,8.5,8.0,6.5,9.0,8.0,78.0,70.0,65.0,55.0,67.0,5.0,5.0,5.0,5.0,5.0,9.5,10.0,9.5,10.0,9.8,98.0,95.0,93.0,100.0,96.5
19,A video of a menacing crocodile swimming through a public marina with a dead pet dog locked in betwe...,the clip shows a large croc calmly moving through the marina in mexico . new zealander tim weston wa...,4.0,3.5,4.0,4.5,4.0,7.5,6.5,7.0,8.0,7.2,85.0,70.0,75.0,90.0,80.0,4.2,2.8,3.5,4.5,3.8,8.2,6.5,7.8,9.5,8.0,87.5,75.2,80.1,95.6,84.6,3.5,3.0,2.5,4.0,3.2,7.5,6.0,5.5,9.0,7.0,78.5,82.0,76.5,94.0,82.8,2.5,2.0,3.0,5,3.1,5.5,4.5,7.0,10,6.8,35.0,55.0,65.0,100,63.8,3.5,2.5,4.0,5.0,3.8,8.5,6.0,9.5,9.5,8.4,40.0,35.0,85.0,100.0,65.0,4.5,4.3,4.2,4.5,4.4,9.5,9.0,8.5,9.0,9.0,95.0,90.0,85.0,95.0,91.2
20,A woman who suffered seven miscarriages has spoken of her distress after a family friend stole the m...,Jamie took £207 from Dawn's grave stone and tried to cover it up by claiming it was Carol's money Sh...,3.0,2.5,3.0,2.0,2.6,7.0,6.5,7.0,5.0,6.4,50.0,30.0,40.0,30.0,37.5,2.5,2.0,3.0,4.0,2.9,8.2,6.5,8.0,8.8,7.9,80.2,60.1,70.5,90.8,75.4,3.5,3.0,2.5,4.0,3.2,8.0,6.0,6.5,9.5,7.5,65.0,70.0,75.0,90.0,75.0,4.5,3.0,2.5,5,3.8,9.0,7.0,8.0,10,8.5,90.0,60.0,75.0,100,81.2,5.0,2.0,5.0,5.0,4.2,9.5,5.0,9.0,10.0,8.4,87.5,65.0,82.5,95.0,82.5,4.8,4.7,4.5,5.0,4.8,9.5,9.0,9.0,10.0,9.4,98.0,95.0,97.0,96.0,96.5
21,"One Missouri mom is making the best out of a less than ideal situation. Becky Schoenig of St. Louis,...","becky schoenig of st. louis, missouri was shocked when she realized her brand new 2015 ford fusion h...",3.5,4.0,4.2,4.8,4.1,7.5,8.2,8.8,8.0,8.1,85.0,90.0,92.0,87.5,88.6,4.5,4.2,3.8,5.0,4.4,8.5,9.0,7.5,9.5,8.6,87.5,90.0,82.0,95.0,88.6,4.5,4.5,4.0,5.0,4.5,9.0,9.0,7.5,10.0,8.9,100.0,95.0,80.0,100.0,93.8,2.0,2.5,4.0,1.0,2.4,6.0,4.0,6.0,3.0,4.8,40.0,35.0,50.0,30.0,38.8,3.8,4.2,4.5,1.2,3.4,5.5,6.0,8.0,7.0,6.6,64.5,73.0,78.0,58.0,68.4,4.8,4.5,4.5,5.0,4.7,9.5,9.0,9.0,10.0,9.4,98.0,95.0,90.0,95.0,94.5
22,"Manchester City players will lose £500,000-a-man in bonuses if they fail to qualify for the Champion...","manchester city players will lose £ 500,000 - a - man in bonuses if they fail to qualify for the cha...",4.5,4.0,4.0,5.0,4.4,8.5,7.5,7.5,9.0,8.1,85.0,75.0,90.0,95.0,86.2,4.5,4.2,3.8,4.8,4.3,8.5,8.0,7.5,9.5,8.4,92.5,90.0,85.0,98.0,91.4,4.0,3.5,2.5,4.5,3.6,8.5,7.5,6.5,9.0,7.9,85.0,75.0,65.0,90.0,78.8,3.0,3.0,4.5,2.0,3.1,3.0,6.0,6.0,2.0,4.2,40.0,90.0,90.0,95.0,78.8,3.5,4.0,4.5,4.0,4.0,7.5,9.0,8.0,8.0,8.1,73.0,60.0,85.0,100.0,79.5,4.8,4.5,4.2,4.7,4.5,9.5,9.0,9.0,9.5,9.2,95.0,90.0,90.0,95.0,92.5
23,(CNN)Eight Iranian border guards have been killed in clashes with militants near the border with Pak...,"eight iranian border guards killed in clashes with militants near the border with pakistan, iranian ...",3.0,3.5,4.0,3.0,3.4,6.5,7.0,8.0,7.0,7.1,85.0,70.0,85.0,95.0,83.8,4.2,4.0,3.8,5.0,4.2,8.5,8.0,7.5,9.5,8.4,82.5,75.0,80.0,95.0,83.1,4.0,4.5,4.0,5.0,4.4,9.5,9.0,8.5,10.0,9.2,75.0,80.0,70.0,95.0,80.0,3.0,2.5,4.0,5,3.6,5.5,5.5,7.0,10,7.0,65.0,70.0,55.0,100,72.5,1.5,1.0,3.0,4.5,2.5,5.5,2.5,8.0,9.0,6.2,55.0,20.0,40.0,90.0,51.2,4.5,4.5,4.5,5.0,4.6,9.5,9.0,9.0,9.5,9.2,95.0,90.0,90.0,95.0,92.5
24,Boss Nigel Pearson has urged Leicester to keep their cool and ignore their relegation rivals. The Fo...,Leicester are just three points from safety after back-to-back wins . Nigel Pearson has urged his pl...,4.5,4.0,4.5,5.0,4.5,8.5,7.5,9.0,9.0,8.5,85.0,85.0,90.0,95.0,88.8,4.2,4.0,4.5,4.8,4.4,8.5,8.0,9.0,9.5,8.8,87.5,80.0,92.5,95.0,88.8,4.5,4.5,4.8,5.0,4.7,8.5,9.0,8.5,10.0,9.0,90.0,90.0,95.0,100.0,93.8,4.0,4.5,4.0,5,4.4,7.5,9.0,4.0,10,7.6,85.0,95.0,65.0,100,86.2,4.2,4.0,3.8,5.0,4.2,9.0,7.0,9.0,10.0,8.8,95.0,80.0,95.0,100.0,92.5,4.8,4.5,4.0,5.0,4.6,9.5,9.0,8.5,10.0,9.2,95.0,95.0,90.0,100.0,95.0
25,A teenager from Illinois is tackling her disability head-on and attempting to positively influence t...,"dayna dobias, 19, from downers grove was born with cerebral palsy . she hopes to inspire others with...",4.0,3.5,3.5,4.5,3.9,8.5,8.0,8.5,9.0,8.5,85.0,80.0,92.5,90.0,86.9,4.5,4.0,3.5,5.0,4.2,8.5,8.0,7.5,9.5,8.4,87.5,80.0,75.0,95.0,84.4,4.5,4.0,3.5,5.0,4.2,8.5,9.0,7.5,9.5,8.6,85.5,88.0,82.5,97.0,88.2,3.5,5,3.5,5,4.2,6.0,9.0,8.0,10,8.2,65.0,95.0,85.0,100,86.2,4.5,4.0,4.5,5.0,4.5,4.5,7.0,6.0,10.0,6.9,85.0,90.0,95.0,100.0,92.5,4.8,4.5,4.2,4.7,4.5,9.5,9.5,9.5,10.0,9.6,95.0,90.0,85.0,90.0,90.0
